Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings
540762	2757277	143	142	107	1	1	25	0.17482517482517482	0.7535211267605634	8	14
2757277	4165152	222	107	3	1	1	0	0.0	0.028037383177570093	2	0
4165152	2319758	11	3	2	1	1	0	0.0	0.6666666666666666	0	0
1025192	2390187	13	50	116	1	1	5	0.38461538461538464	2.32	8	4
2390187	2868783	26	116	1	1	1	0	0.0	0.008620689655172414	0	0
1889606	3216499	191	25	22	1	1	0	0.0	0.88	9	0
1885745	4522161	143	35	8	1	1	0	0.0	0.22857142857142856	0	0
2655966	4613111	2804	81	314	1	1	0	0.0	3.876543209876543	34	0
3655780	3755773	1301	342	54	1	1	0	0.0	0.15789473684210525	18	0
3984151	383065	248	27	30	1	1	0	0.0	1.1111111111111112	6	0
2941221	4717522	50	4	913	1	1	6	0.12	228.25	4	0
4717522	4344646	395	913	362	1	1	47	0.1189873417721519	0.3964950711938664	23	52
4344646	3193364	497	362	31	1	1	0	0.0	0.0856353591160221	2	0
4096959	1659856	95	23	319	1	1	0	0.0	13.869565217391305	3	0
3146367	639709	277	33	15	1	1	0	0.0	0.45454545454545453	1	0
3063573	3718467	996	93	11	1	1	0	0.0	0.11827956989247312	3	0
1139266	4270121	61	2	23	1	1	3	0.04918032786885246	11.5	1	0
4270121	3109326	40	23	126	1	1	2	0.05	5.478260869565218	0	0
3109326	4357561	25	126	9	1	1	0	0.0	0.07142857142857142	1	0
3866129	2758901	98	6	6	1	1	0	0.0	1.0	2	0
2411667	3794678	229	23	1	1	1	0	0.0	0.043478260869565216	0	0
112408	3454378	78	25	3	1	1	0	0.0	0.12	2	0
4316209	2862019	58	215	903	1	1	14	0.2413793103448276	4.2	37	23
2862019	2026247	57	903	32	1	1	11	0.19298245614035087	0.035437430786267994	3	28
1208991	209434	21	8	12	1	1	0	0.0	1.5	0	0
911192	4121231	6327	106	19	1	1	0	0.0	0.1792452830188679	3	0
183476	1448017	11	6	7	1	1	0	0.0	1.1666666666666667	1	0
1085321	141733	56	14	4	1	1	0	0.0	0.2857142857142857	0	0
3424598	3628231	341	30	26	1	1	0	0.0	0.8666666666666667	11	0
75239	3173958	27	11	2	1	1	0	0.0	0.18181818181818182	0	0
3173958	3339982	142	2	4	1	1	0	0.0	2.0	0	0
2469359	3345871	263	59	1181	1	1	0	0.0	20.016949152542374	36	0
3168320	99839	1904	309	10	1	1	0	0.0	0.032362459546925564	2	0
1605523	3578500	244	23	3	1	1	0	0.0	0.13043478260869565	1	0
857201	2951368	353	28	2	1	1	0	0.0	0.07142857142857142	1	0
1395717	2210352	510	32	6	1	1	0	0.0	0.1875	2	0
2876797	1727464	64	61	267	1	1	12	0.1875	4.377049180327869	8	14
1727464	3885337	1073	267	79	1	1	0	0.0	0.2958801498127341	10	0
606663	3284140	21	55	6	1	1	6	0.2857142857142857	0.10909090909090909	1	2
3284140	4016190	43	6	2	1	1	0	0.0	0.3333333333333333	0	0
1081925	3633019	55	14	746	1	1	6	0.10909090909090909	53.285714285714285	5	5
3633019	3472061	32319	746	20	1	1	0	0.0	0.02680965147453083	15	0
3311052	3770494	100	76	352	1	1	0	0.0	4.631578947368421	17	0
1812703	742086	35	9	96	1	1	0	0.0	10.666666666666666	2	0
3792226	1455058	146	9	129	1	1	11	0.07534246575342465	14.333333333333334	0	1
1455058	4680874	3856	129	1	1	1	0	0.0	0.007751937984496124	0	0
4117726	4713391	751	136	387	1	1	0	0.0	2.8455882352941178	16	0
749588	2317782	57	3	788	1	1	10	0.17543859649122806	262.6666666666667	4	1
2317782	98420	2668	788	339	1	1	17	0.006371814092953523	0.4302030456852792	64	5
2385076	1191020	106	327	263	1	1	9	0.08490566037735849	0.8042813455657493	6	8
1191020	712454	112	263	4	1	1	0	0.0	0.015209125475285171	2	0
2362521	4782074	168	15	920	1	1	14	0.08333333333333333	61.333333333333336	19	0
4782074	2024200	238	920	113	1	1	40	0.16806722689075632	0.12282608695652174	25	45
2024200	174081	237	113	6	1	1	0	0.0	0.05309734513274336	1	0
2075583	3677432	242	17	1	1	1	0	0.0	0.058823529411764705	0	0
1442837	1583505	108	3	2	1	1	0	0.0	0.6666666666666666	0	0
1330432	680719	1926	12	9	1	1	0	0.0	0.75	0	0
3057270	617640	30	3	5	1	1	0	0.0	1.6666666666666667	1	0
292977	581535	40	81	1283	1	1	15	0.375	15.839506172839506	7	54
581535	4789627	8414	1283	172	1	1	0	0.0	0.13406079501169135	80	0
240699	613338	43	7	1805	1	1	0	0.0	257.85714285714283	2	0
2229844	3044239	310	45	11	1	1	0	0.0	0.24444444444444444	4	0
1851261	2989624	52	7	418	1	1	1	0.019230769230769232	59.714285714285715	6	0
2946219	20894	23	7	11	1	1	0	0.0	1.5714285714285714	1	0
1163711	1064528	162	25	86	1	1	0	0.0	3.44	3	0
235772	2492020	44	16	400	1	1	16	0.36363636363636365	25.0	16	4
2492020	3946090	58	400	65	1	1	27	0.46551724137931033	0.1625	7	46
3946090	3566551	362	65	7	1	1	0	0.0	0.1076923076923077	0	0
3298299	1585258	4843	181	69	1	1	0	0.0	0.3812154696132597	56	0
1894287	2962391	194	29	2532	1	1	7	0.03608247422680412	87.3103448275862	20	2
2962391	328853	241	2532	77	1	1	0	0.0	0.030410742496050552	4	0
276069	846827	417	18	268	1	1	0	0.0	14.88888888888889	5	0
1054871	1585435	279	59	370	1	1	0	0.0	6.271186440677966	41	0
1368086	2633184	128	31	153	1	1	0	0.0	4.935483870967742	5	0
732723	1504506	202	28	551	1	1	36	0.1782178217821782	19.678571428571427	26	12
1504506	1683324	1317	551	1	1	1	0	0.0	0.0018148820326678765	0	0
3637331	1439123	57	52	30	1	1	0	0.0	0.5769230769230769	4	0
1465606	3381299	296	14	2	1	1	0	0.0	0.14285714285714285	0	0
